sim_id,record_id,base_record_id,earthquake_name,magnitude,r_rup_km,vs30_ms,target_pga_g,resulting_pga_g,struct_id,T,zeta,material_type,u_y,alpha,u_max_m,f_max_n,e_h_final_j,ductility,dt,n_steps,sim_file_path
RSN0001_PGA_0p300g__SDOF_T1p50s_Z0p05_ELAS,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T1p50s_Z0p05_ELAS,1.5,0.05,elastic,,0.0,0.2054440295285565,3.604713418689019,5.853252556417989e-06,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T1p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p300g__SDOF_T2p00s_Z0p05_ELAS,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T2p00s_Z0p05_ELAS,2.0,0.05,elastic,,0.0,0.10175877648296067,1.004318868225697,2.416730743848132e-05,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T2p00s_Z0p05_ELAS.npz
RSN0001_PGA_0p300g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,0.2,0.05,bilinear,0.005,0.02,0.007277156507549622,4.979751468322441,0.025354209324472042,1.4554313015099243,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02.npz
RSN0001_PGA_0p300g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,0.5,0.05,bilinear,0.01,0.02,0.03662426951081789,1.6632234265870198,0.1996480484253449,3.662426951081789,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02.npz
RSN0001_PGA_0p300g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,0.5,0.05,bilinear,0.02,0.05,0.03336245246527099,3.2637791040770634,0.08054444521311041,1.6681226232635493,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05.npz
RSN0001_PGA_0p300g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,1.0,0.05,bilinear,0.02,0.02,0.13502312976966613,0.8803869751112903,0.26355482811963504,6.751156488483306,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02.npz
RSN0001_PGA_0p300g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,1.0,0.05,bilinear,0.04,0.05,0.07631306061910312,1.6508158127549624,0.2723827842897282,1.907826515477578,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05.npz
RSN0001_PGA_0p300g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,1.5,0.05,bilinear,0.03,0.02,0.14385304132585425,0.5663321272668833,0.1981652178196481,4.795101377528475,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02.npz
RSN0001_PGA_0p300g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,2.0,0.05,bilinear,0.05,0.02,0.11042097787212174,0.5054068430369643,0.09507631861975617,2.2084195574424346,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02.npz
RSN0001_PGA_0p400g__SDOF_T0p20s_Z0p05_ELAS,RSN0001_PGA_0p400g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.4,0.4,SDOF_T0p20s_Z0p05_ELAS,0.2,0.05,elastic,,0.0,0.009255401612747873,9.134715249102594,9.757094855679394e-11,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p400g__SDOF_T0p20s_Z0p05_ELAS.npz
